深圳证券通信有限公司,资深运维工程师   （交易结算事业部）,深圳-福田区,03-31,2-3.3万/月
麦田春雪科贸（北京）有限公司,测试经理,北京-朝阳区,03-31,2.5-3万/月
统信软件技术有限公司,linux系统支持工程师,成都,03-31,1-2.5万/月
柯达（中国）投资有限公司,Cloud DevOps Software Engineer,上海-浦东新区,03-31,20-30万/年
上海博弋信息科技有限公司,安全运维工程师（实习生）,上海-徐汇区,03-31,200元/天
上海帕科信息科技有限公司,前端开发工程师,上海-徐汇区,03-31,1.5-2万/月
北京启明星辰信息安全技术有限公司,渗透工程师（驻场）,南京,03-31,2-2.5万/月
奇虎360科技有限公司,测试工程师,北京,03-31,1.5-2万/月
上海独匠信息科技有限公司,PHP开发工程师,上海-徐汇区,03-31,1.6-2.2万/月
上海汇付锦翰信息技术有限公司,高级测试工程师,南京-雨花台区,03-31,1-1.5万/月
深圳深蓝保科技有限公司,软件测试工程师,深圳-南山区,03-31,0.7-1.2万/月
广州市客云网络科技有限公司,软件测试工程师,广州-天河区,03-31,0.6-1.2万/月
深圳拓豹科技有限公司,技术总监,深圳-南山区,03-31,3-5万/月
成都海光集成电路设计有限公司,Linux系统软件工程师,北京-海淀区,03-31,1.5-2万/月
杭州晨科软件技术有限公司,自动化测试实习生,杭州-西湖区,03-31,2-3千/月
艾伯资讯（深圳）有限公司,5G测试工程师,深圳-南山区,03-31,1.5-2万/月
普类整合营销,Html5 /互动设计师/技术/web前端程序员,上海-普陀区,03-31,0.8-1万/月
北京沃丰时代数据科技有限公司,Web开发工程师,北京,03-31,无
赛特斯信息科技股份有限公司,Java后端开发工程师,南京,03-31,1-2万/月
北京护航科技股份有限公司,IT技术支持,厦门,03-31,0.9-1万/月
生工生物工程（上海）股份有限公司,高级前端开发工程师,上海-松江区,03-31,1.2-1.7万/月
中山市艾文凯迪网络科技有限公司,JAVA开发工程师,中山,03-31,0.6-1.2万/月
上海汇中保险经纪有限责任公司,后端开发工程师（Nodejs）,上海-浦东新区,03-31,1-2万/月
上海派拉软件股份有限公司,运维工程师(北京),北京-大兴区,03-31,6-8千/月
珠海新海通电子商务有限公司,后端架构师,珠海,03-31,2-3万/月
浙江臻善科技股份有限公司,自动化测试工程师-----杭州,杭州,03-31,1-1.6万/月
阿里云创新中心长沙雨花基地,运维工程师（云畅团队）,长沙-雨花区,03-31,4-8千/月
上海煜暖实业有限公司,数控编程 双休,异地招聘,03-31,6-8千/月
上海口袋云网络科技有限公司,资深测试工程师,上海-宝山区,03-31,2-2.5万/月
大连柠檬信息技术有限公司,系统支持工程师,大连-沙河口区,03-31,1.2-2万/月
德勤华永会计师事务所（特殊普通合伙）,DevSecOps - Cybersecurity Services(CSS) - Information Technology Service - CQ GDC,重庆,03-31,无
广州市凯泽利科技有限公司,渗透测试工程师(汽车安全测试),广州-天河区,03-31,5-7千/月
上海伊赐诺网络科技有限公司,测试主管,上海-徐汇区,03-31,1.5-2万/月
成都大汇智安科技有限公司,运维工程师,成都-武侯区,03-31,0.6-1.1万/月
杭州悦玩网络科技有限公司,自动化测试工程师,杭州-余杭区,03-31,1.5-2.5万/月
宁波启点教育科技有限公司,初级开发工程师,宁波,03-31,6-8千/月
河北万安智慧新能源开发有限公司,软件开发工程师,石家庄,03-31,0.8-1万/月
合肥纳核科技有限公司,软件工程师,合肥-蜀山区,03-31,0.8-1万/月
宁波启点教育科技有限公司,初级程序员/开发工程师,宁波,03-31,8-12万/年
成都迪睿汇金科技有限公司,Java开发工程师,福州-鼓楼区,03-31,1.2-1.8万/月
长沙图灵教育科技有限公司,高级测试讲师,长沙-岳麓区,03-31,1-2万/月
上海步朗电子科技有限公司,软件工程师,上海-虹口区,03-31,1.3-1.6万/月
得物App,运维开发工程师,上海-杨浦区,03-31,2.5-3万/月
大连星宇科技有限公司,软件测试工程师,大连,03-31,3-4千/月
成都燃光科技有限公司,软件测试工程师,成都-高新区,03-31,0.6-1万/月
美团点评,高级/资深测试开发工程师,上海-长宁区,03-31,2-2.5万/月
杭州喔影网络科技有限公司,Web前端开发工程师,杭州-余杭区,03-31,0.8-1.4万/月
中科曙光南京研究院有限公司,测试工程师（2020届）,南京-江宁区,03-31,0.7-1万/月
北京归去来兮文化发展有限公司,测试工程师（中级）,武汉,03-31,0.8-1万/月
中船海洋探测技术研究院有限公司,Java软件工程师,无锡,03-31,0.6-1.5万/月
上海灵慧软件科技有限公司,软件测试工程师,上海-静安区,03-31,1.5-2万/月
苏州润霆电子科技有限公司,软件测试工程师,苏州-工业园区,03-31,0.5-1万/月
Unity大中华区,DevOps运维开发工程师,上海,03-31,1.5-3万/月
杭州会搜科技股份有限公司,Web前端,杭州-江干区,03-31,0.6-1.2万/月
广东国地规划科技股份有限公司,大数据可视化工程师,广州-天河区,03-31,0.7-1.4万/月
杭州同花顺数据开发有限公司,软件测试工程师,杭州-余杭区,03-31,0.7-1.3万/月
赛伯尔（大连）信息技术咨询有限公司,软件开发工程师（长期日本出差）,异地招聘,03-31,1.5-4万/月
西安天时地利电子科技有限公司,物联网测试工程师,武汉,03-31,5-8千/月
江苏吉诺思美精准医学科技有限公司,生物信息工程师,南京,03-31,0.7-1.5万/月
武汉安天信息技术有限责任公司,系统运维工程师,武汉,03-31,1.2-1.8万/月
日立解决方案（中国）有限公司,对日软件开发工程师,北京,03-31,无
施耐德电气（中国）有限公司,配置管理工程师（第三方）,上海,03-31,1-1.5万/月
上海雪萌网络科技有限公司,资深前端程序员,上海-徐汇区,03-31,1.5-2.5万/月
江西康力药品物流有限公司,运维经理,宜春,03-31,0.8-1万/月
恒生电子股份有限公司,高级运维工程师-鲸腾-杭州,杭州-滨江区,03-31,1-1.8万/月
西安叁角猫网络科技有限公司,游戏服务器开发工程师,西安-莲湖区,03-31,1-1.5万/月
上海中智科创服务外包有限公司,中电上海研发中心网络安全研究员,上海-杨浦区,03-31,1.5-3万/月
印孚瑟斯技术（中国）有限公司,高级自动化测试,深圳-南山区,03-31,1.5-2.2万/月
成都迈思信息技术有限公司,运维工程师,成都,03-31,1-1.5万/月
浙江连信科技有限公司,高级测试工程师,杭州-滨江区,03-31,1-2万/月
上海新朋程数据科技发展有限公司,软件测试主管,上海-杨浦区,03-31,1.2-2万/月
上海梅歌文化传播有限公司,软件经理/全栈工程师,上海-徐汇区,03-31,1.5-2万/月
杭州助美企业管理咨询有限公司,软件测试工程师,杭州-江干区,03-31,1-1.5万/月
上海华夏邓白氏商业信息咨询有限公司,Solutions Architect,深圳-福田区,03-31,2-3万/月
金蝶医疗软件科技有限公司,Web前端开发工程师,广州-天河区,03-31,0.8-1.5万/月
艾琳达（北京）国际咨询有限公司,高级功能测试/自动化测试,北京-海淀区,03-31,1.5-2万/月
成都创人所爱科技股份有限公司 (tap4fun),Web前端开发工程师（校招）,成都,03-31,1-1.5万/月
四川观想科技股份有限公司,配置管理工程师,成都-双流区,03-31,1-1.8万/月
美联物业代理（深圳）有限公司,软件测试工程师,深圳-罗湖区,03-31,0.8-1.5万/月
广州迅易科技有限公司,大数据开发工程师,广州-海珠区,03-31,1.5-2.5万/月
西安思科特软件有限公司,急聘Big Data Lead Engineer,西安-高新技术...,03-31,2.5-3万/月
广州六米网络科技有限公司,Web前端开发工程师,广州-天河区,03-31,1.2-2万/月
四川领域信息技术有限公司,高级前端开发工程师,北京-海淀区,03-31,2-4万/月
深圳中联德集团有限公司,首席架构师（小数金融公司版块）,深圳-龙岗区,03-31,50-60万/年
亚创（上海）工程技术有限公司,系统测试工程师,上海-浦东新区,03-31,1.5-2.5万/月
天津滨海新区海思坦企业管理有限公司,IT Expert Developer/开发技术专家J23534,天津,03-31,1.5千以下/月
武汉楚见科技有限责任公司,Java资深开发工程师,武汉-洪山区,03-31,2-4万/月
上海开赟软件服务有限公司,HPC工程师,上海-静安区,03-31,25-35万/年
凹凸电子（武汉）有限公司,软件工程师(J10139),武汉,03-31,1-1.5万/月
普元信息技术股份有限公司,软件测试工程师,上海-浦东新区,03-31,0.8-1.5万/月
常州常工电子科技股份有限公司,软件测试工程师,常州-新北区,03-31,4.5-6千/月
郑州李唐电子科技有限公司,HTML5开发工程师/前端开发工程师,郑州,03-31,6-8千/月
重庆金卡联智数字技术有限公司,WEB前端工程师,重庆-南岸区,03-31,0.7-1万/月
北京佰才邦技术有限公司,嵌入式应用开发工程师,深圳-南山区,03-31,1-2万/月
深圳市同为数码科技股份有限公司,高级摄像机软件测试工程师,深圳-南山区,03-31,12-25万/年
上海艾杰飞人力资源有限公司,日企服务器工程师(编号113912),上海,03-31,0.7-1.5万/月
四川物联亿达科技有限公司,信息安全工程师,成都-高新区,03-31,0.8-1.1万/月
常州昊泽信息科技有限公司,前端开发工程师,常州-武进区,03-31,0.6-1.5万/月
合肥耀安科技有限公司,unity3D开发主管,合肥-高新区,03-31,1.5-2万/月
雷技信息科技（上海）有限公司,Web前端开发工程师,上海-浦东新区,03-31,1-1.8万/月
联想中望系统服务有限公司（现越亮传奇科技股份有限公司）,测试工程师,重庆-渝北区,03-31,5-8千/月
广东快商科技有限公司,沈阳分公司经理,沈阳,03-31,40-200万/年
深圳市讯方技术股份有限公司,Python高级开发工程师,苏州,03-31,1-1.5万/月
RebatesMe海淘返利网,测试主管,上海-普陀区,03-31,1.5-2万/月
上海欣哲国际货物运输代理有限公司,Java开发工程师,上海,03-31,1.3-1.8万/月
上海程沃企业管理咨询有限公司,Java后台高级研发工程师,异地招聘,03-31,4-5万/月
深圳华游网络科技有限公司,GO开发工程师,深圳-福田区,03-31,1.5-2万/月
郑州恒正电子科技有限公司,Web前端开发工程师,郑州,03-31,5-7.5千/月
深圳震有科技股份有限公司,测试工程师,深圳-南山区,03-31,0.7-1.5万/月
苏州海加网络科技股份有限公司,资深软件测试工程师,苏州-工业园区,03-31,0.8-1.2万/月
诺亚歌斐投资管理,测试工程师,上海-杨浦区,03-31,1.5-2万/月
中保函（大连）科技有限公司,高薪聘请首席技术官,大连-沙河口区,03-31,30-60万/年
上海企源科技股份有限公司,iOS 高级开发工程师,上海-闵行区,03-31,1.8-3万/月
上海韦地计算机科技有限公司,高级App开发工程师,上海-虹口区,03-31,1.5-2万/月
苏州盖雅信息技术有限公司,信息安全工程师,苏州,03-31,1-2万/月
上海森亿医疗科技有限公司,前端开发工程师,上海-浦东新区,03-31,1.2-2.4万/月
深圳市越疆科技有限公司,测试经理,深圳-南山区,03-31,2-3万/月
微加普惠金融服务（深圳）有限公司,主程（昆明）,昆明-盘龙区,03-31,1.2-2万/月
大连展锋人力资源开发有限公司,全栈开发工程师,大连,03-31,1.5-3万/月
薪得付信息技术（上海）有限公司,高级HTML5开发工程师,上海,03-31,2-2.5万/月
上海新炬网络信息技术股份有限公司,运维工程师,广州-天河区,03-31,1-1.6万/月
广州南方人才资源租赁中心,前端技术专家（某移动开发者平台）,北京-朝阳区,03-31,6-8万/月
宁波邻家网络科技有限公司,PHP开发工程师,宁波,03-31,1.5-2.5万/月
重庆数聚汇通信息技术有限公司,软件测试工程师,重庆,03-31,0.8-1万/月
湖南星汉数智科技有限公司,测试开发,长沙-岳麓区,03-31,0.6-1万/月
东莞市慕思寝室用品有限公司,运维主管,东莞,03-31,1-1.5万/月
车音智能科技有限公司,系统运维工程师,北京,03-31,1.5-2.5万/月
福建嘉信人力资源服务有限公司,产品经理,上海,03-31,1.5-2万/月
虎扑,平台运维开发工程师,上海,03-31,2.5-4万/月
万宝盛华企业管理咨询（上海）有限公司,美资500强硬盘厂商EAP工程师,上海-闵行区,03-31,1.5-2.5万/月
SHEIN,数据库运维工程师（2020届）,南京-雨花台区,03-31,1.2-1.6万/月
杭州海康威视数字技术股份有限公司,Web前端开发工程师,天津-南开区,03-31,1-1.5万/月
深圳怡化电脑股份有限公司,高级Java开发工程师,深圳-南山区,03-31,1-2万/月
深圳市拔超科技有限公司,WEB研发工程师,长沙,03-31,0.5-1.5万/月
大连中控智慧信息技术有限公司,测试工程师,大连,03-31,4-6千/月
润杨集团（深圳）有限公司,软件开发工程师,深圳-罗湖区,03-31,0.9-1.8万/月
深圳天海宸光科技有限公司,高级后端开发工程师,深圳-南山区,03-31,1.5-2.5万/月
广州立趣信息科技有限公司,前端开发工程师,广州-天河区,03-31,0.8-1.5万/月
上海中研宏科软件股份有限公司,前端高级开发工程师,沈阳-浑南区,03-31,1.2-2万/月
杭州腾展科技股份有限公司,高级测试开发工程师,杭州-西湖区,03-31,1.5-2万/月
扬旭电子科技（上海）有限公司深圳分公司,嵌入式软件测试经理,深圳,03-31,2-3万/月
中电华瑞技术有限公司,Web前端开发工程师,南京-江宁区,03-31,0.8-2万/月
南凌科技股份有限公司,研发工程师（2020届毕业生）,深圳-南山区,03-31,6-8千/月
南京信雅达友田信息技术有限公司,前端架构师,深圳-福田区,03-31,2-3万/月
深圳市伙伴行网络科技有限公司,自动化测试工程师,深圳-南山区,03-31,1-1.5万/月
大连隆基信息技术有限公司,欧美性能测试工程师/自动化测试,大连-高新园区,03-31,1-1.5万/月
北京中测安华科技有限公司,运维开发工程师,北京-海淀区,03-31,1.5-2万/月
杭州华思通信技术有限公司,软件研发工程师,杭州,03-31,6-8千/月
上海网萌网络科技有限公司,性能测试工程师,北京-大兴区,03-31,1-1.5万/月
广州友迅网络科技有限公司,iOS开发工程师,广州-白云区,03-31,1.5-2万/月
杭州瑞东机械有限公司,前端开发工程师,杭州,03-31,20-30万/年
是德科技（中国）有限公司Keysight,软件开发工程师（Application&Threat Intelligence）,北京,03-31,28-35万/年
杭州码泰科技有限公司,运维工程师,杭州-西湖区,03-31,1-1.5万/月
迈杰转化医学研究（苏州）有限公司,运维工程师,苏州-工业园区,03-31,4-8千/月
微特技术有限公司,高级前端开发工程师,武汉,03-31,1-1.8万/月
深圳市猛犸智能有限公司,Java高级开发工程师,深圳-宝安区,03-31,15-30万/年
德南纺织科技（上海）有限公司,船务/单证助理 Shipping & Documents,上海-普陀区,03-31,无
成都四海万联科技有限公司,测试工程师,成都-高新区,03-31,0.5-1.2万/月
上海豌豆信息技术有限公司,渗透测试工程师,上海,03-31,1.5-2.5万/月
上海博为峰软件技术有限公司,Web前端开发工程师,杭州,03-31,1-1.5万/月
北京中闰建设有限公司,人脸识别系统测试,北京-海淀区,03-31,1-1.5万/月
东华软件股份公司,测试工程师（南京华为项目）,南京-雨花台区,03-31,0.8-1.6万/月
仲至信息科技（上海）有限公司,资深信息安全工程師,广州-天河区,03-31,1.5-2万/月
杭州网银互联科技股份有限公司,系统工程师-对云有了解,杭州-西湖区,03-31,0.8-1.5万/月
广州嘉懿企业管理顾问有限公司,渗透工程师,广州-黄埔区,03-31,0.8-1万/月
鼎捷软件股份有限公司（原神州数码管理系统有限公司）,架构师-前端HD20012,上海-静安区,03-31,1.8-2.5万/月
广州市卓为信息技术有限公司,主机系统管理员（广州银行大厦）,广州-天河区,03-31,0.8-1.3万/月
合肥一品效果图有限责任公司,后端数据库开发,合肥-包河区,03-31,0.8-1万/月
珠海横琴某科技公司,安全专家岗（攻防方向）,珠海,03-31,1-2千/月
上海细微信息咨询有限公司,测试高级工程师（运满满）,南京-雨花台区,03-31,1.5-2.5万/月
绿盟科技,安全工程师（驻场-南京）(J12267),南京,03-31,6-8千/月
上海科之锐人才咨询有限公司,Golang服务器端开发,上海-浦东新区,03-31,1-1.5万/月
杭州顺网科技股份有限公司,运维测试/ceph测试/测试开发,杭州,03-31,1-2万/月
江苏省联合征信有限公司,软件测试工程师（信息技术部）,南京-建邺区,03-31,无
杭州长川科技股份有限公司,软件测试工程师,杭州-滨江区,03-31,1.3-1.6万/月
杭州拓天科技有限公司,网易考拉前端开发工程师,杭州-滨江区,03-31,1.1-1.5万/月
南通富美服饰有限公司,网站建设,南通,03-31,4.5-6千/月
杭州联汇科技股份有限公司,运维工程师,杭州-滨江区,03-31,6-8千/月
河北华糖云商营销传播股份有限公司,运维工程师（五险一金）,石家庄,03-31,4-7千/月
云计划软件科技（上海）有限公司,Android开发工程师,青岛-崂山区,03-31,0.7-1万/月
南京雪糕网络科技有限公司,资深前端程序员,南京-浦口区,03-31,1-2万/月
广州市林云医疗技术有限公司,测试工程师,长沙,03-31,5-8千/月
泸州老窖股份有限公司,云计算应用 （Paas平台架构师）,异地招聘,03-31,6-8千/月
杭州三汇数字信息技术有限公司,大数据开发工程师2(三汇数字）,杭州-滨江区,03-31,1-2万/月
上海全卫物业管理有限公司,测试运维工程师,上海-虹口区,03-31,6-9千/月
江苏迪达科技有限公司,渗透测试工程师,异地招聘,03-31,0.8-1万/月
北京搜狗科技发展有限公司,搜狗地图-移动端测试开发,北京-海淀区,03-31,2.5-4.5万/月
嘉联支付有限公司,配置管理工程师,深圳-南山区,03-31,1.5-2.5万/月
南京市多翼电智科技有限公司,后端开发工程师,南京-江宁区,03-31,0.7-1.2万/月
深圳坐标软件集团有限公司,深圳-高级运维工程师,深圳-福田区,03-31,1.5-2万/月
深圳市捷顺科技实业股份有限公司,Linux运维工程师,深圳-福田区,03-31,1.2-1.6万/月
鸿富锦精密电子（郑州）有限公司,前端开发工程师,郑州-郑州航空...,03-31,6-8千/月
梦网荣信科技集团股份有限公司,解决方案架构师,深圳-南山区,03-31,2-3万/月
光联科技集团,测试工程师,东莞,03-31,6-8千/月
西安三好软件技术股份有限公司,（上市公司）软件测试工程师,西安-碑林区,03-31,3-6千/月
美的-库卡机器人,Development Operations 运维开发工程师,上海-松江区,03-31,2.5-3万/月
